id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2015-12-29,"{""address"": ""Street 29, City 18"", ""phone"": ""6334963037"", ""email"": ""email_884@example.com""}",Marketing,4395.0
2,Name_436,62.0,50000,2019-12-07,"{""address"": ""Street 99, City 37"", ""phone"": ""9156774712"", ""email"": ""email_228@example.com""}",Marketing,4846.0
3,Name_861,61.0,60000,2020-11-16,"{""address"": ""Street 56, City 36"", ""phone"": ""3890934392"", ""email"": ""email_732@example.com""}",HR,
4,Name_271,36.0,70000,,,,5958.0
5,Name_107,78.0,60000,2022-11-30,"{""address"": ""Street 14, City 2"", ""phone"": ""2545303630"", ""email"": ""email_351@example.com""}",IT,
6,Name_72,35.0,,2020-02-23,"{""address"": ""Street 99, City 32"", ""phone"": ""7874163672"", ""email"": ""email_919@example.com""}",IT,7923.0
7,Name_701,73.0,60000,2021-08-11,"{""address"": ""Street 63, City 13"", ""phone"": ""6796565695"", ""email"": ""email_506@example.com""}",Finance,3607.0
8,Name_21,18.0,60000,2020-05-24,"{""address"": ""Street 43, City 4"", ""phone"": ""1452395686"", ""email"": ""email_44@example.com""}",IT,9568.0
9,Name_615,42.0,50000,2025-05-12,"{""address"": ""Street 25, City 21"", ""phone"": ""8060379073"", ""email"": ""email_901@example.com""}",IT,7892.0
10,Name_122,44.0,50000,2025-03-01,"{""address"": ""Street 45, City 47"", ""phone"": ""4658378649"", ""email"": ""email_260@example.com""}",HR,7232.0
11,Name_467,24.0,70000,2019-12-17,"{""address"": ""Street 8, City 45"", ""phone"": ""5101898936"", ""email"": ""email_153@example.com""}",Finance,
12,Name_215,61.0,,2025-06-28,"{""address"": ""Street 74, City 20"", ""phone"": ""9969234360"", ""email"": ""email_986@example.com""}",IT,8750.0
13,Name_331,59.0,70000,2018-11-22,,IT,7931.0
14,Name_459,46.0,,2024-08-15,"{""address"": ""Street 40, City 42"", ""phone"": ""9318722956"", ""email"": ""email_693@example.com""}",,3874.0
15,Name_88,48.0,,2018-11-24,"{""address"": ""Street 85, City 50"", ""phone"": ""4152146880"", ""email"": ""email_659@example.com""}",IT,3249.0
16,Name_373,61.0,,2022-12-12,"{""address"": ""Street 43, City 13"", ""phone"": ""8656138827"", ""email"": ""email_606@example.com""}",HR,6765.0
17,Name_100,60.0,60000,2020-05-30,"{""address"": ""Street 78, City 25"", ""phone"": ""8358419397"", ""email"": ""email_688@example.com""}",IT,5729.0
18,Name_872,53.0,60000,2020-08-19,"{""address"": ""Street 20, City 38"", ""phone"": ""3140011090"", ""email"": ""email_304@example.com""}",IT,1307.0
19,Name_664,36.0,50000,2018-06-17,"{""address"": ""Street 50, City 17"", ""phone"": ""6405414701"", ""email"": ""email_918@example.com""}",Marketing,7806.0
20,Name_131,23.0,70000,2020-07-17,,IT,
21,Name_662,42.0,60000,2021-06-26,"{""address"": ""Street 23, City 49"", ""phone"": ""6847420368"", ""email"": ""email_457@example.com""}",Finance,2775.0
22,Name_309,48.0,70000,2022-12-29,"{""address"": ""Street 75, City 7"", ""phone"": ""8971980613"", ""email"": ""email_438@example.com""}",Marketing,5054.0
23,Name_770,26.0,60000,2018-05-10,"{""address"": ""Street 30, City 2"", ""phone"": ""4909600932"", ""email"": ""email_895@example.com""}",Finance,7811.0
24,Name_344,37.0,70000,2025-02-02,,Finance,4103.0
25,Name_492,27.0,,2024-11-10,"{""address"": ""Street 1, City 46"", ""phone"": ""6207651521"", ""email"": ""email_964@example.com""}",HR,6111.0
26,Name_414,54.0,,2017-08-16,"{""address"": ""Street 88, City 4"", ""phone"": ""7741916645"", ""email"": ""email_830@example.com""}",IT,4652.0
27,Name_806,44.0,60000,2022-08-02,,Finance,1095.0
28,Name_386,30.0,70000,2023-12-08,"{""address"": ""Street 70, City 46"", ""phone"": ""6440265784"", ""email"": ""email_991@example.com""}",IT,8431.0
29,Name_192,58.0,70000,2017-09-18,"{""address"": ""Street 73, City 35"", ""phone"": ""1741875897"", ""email"": ""email_235@example.com""}",IT,6756.0
30,Name_956,19.0,,2019-04-11,"{""address"": ""Street 75, City 3"", ""phone"": ""3706533875"", ""email"": ""email_545@example.com""}",HR,9614.0
31,Name_277,67.0,70000,2023-04-20,"{""address"": ""Street 57, City 11"", ""phone"": ""6803590782"", ""email"": ""email_229@example.com""}",HR,6895.0
32,Name_161,38.0,50000,2017-05-31,"{""address"": ""Street 92, City 10"", ""phone"": ""4397639916"", ""email"": ""email_883@example.com""}",Finance,5795.0
33,Name_460,50.0,70000,2018-12-22,"{""address"": ""Street 23, City 47"", ""phone"": ""1107850523"", ""email"": ""email_485@example.com""}",Finance,1967.0
34,Name_314,41.0,,2017-05-04,"{""address"": ""Street 14, City 33"", ""phone"": ""8650627210"", ""email"": ""email_224@example.com""}",Marketing,7963.0
35,Name_22,70.0,50000,2021-12-22,"{""address"": ""Street 10, City 44"", ""phone"": ""3738292649"", ""email"": ""email_974@example.com""}",IT,2577.0
36,Name_253,61.0,50000,2025-04-09,"{""address"": ""Street 34, City 48"", ""phone"": ""7924710276"", ""email"": ""email_539@example.com""}",IT,8629.0
37,Name_748,59.0,70000,2022-12-28,"{""address"": ""Street 84, City 22"", ""phone"": ""4695358828"", ""email"": ""email_361@example.com""}",HR,9682.0
38,Name_857,51.0,,2022-01-15,"{""address"": ""Street 11, City 23"", ""phone"": ""7988981663"", ""email"": ""email_584@example.com""}",HR,2126.0
39,Name_561,77.0,,,"{""address"": ""Street 28, City 22"", ""phone"": ""6401673282"", ""email"": ""email_611@example.com""}",Finance,2320.0
40,Name_475,26.0,,2024-04-20,"{""address"": ""Street 90, City 39"", ""phone"": ""5658038540"", ""email"": ""email_930@example.com""}",Marketing,8423.0
